Invoice,Recency,Frequency,Monetary,Cluster
489434,374,8,505.3,0
489435,374,4,145.79999999999998,1
489436,374,19,630.33,0
489437,374,23,310.75,0
489439,374,19,426.3,0
489440,374,2,50.4,1
489441,374,4,344.34000000000003,0
489442,374,23,382.37,0
489443,374,7,285.06,0
489444,374,1,141.0,1
489445,374,19,308.44,0
489447,374,1,130.0,1
489448,374,4,570.24,0
489450,374,9,196.10000000000002,0
489460,374,15,485.79,0
489461,374,26,589.33,0
489462,374,13,148.3,0
489488,374,30,251.1,0
489505,374,10,255.5,0
489514,374,32,823.02,0
489517,374,38,282.46000000000004,0
489519,374,38,696.73,0
489520,374,30,733.63,0
489525,374,2,1.4,1
489529,374,50,229.46,0
489531,374,14,145.0,0
489532,374,20,304.53000000000003,0
489533,374,22,192.75,0
489537,374,59,633.33,0
489540,374,5,537.96,0
489542,374,2,387.6,1
489544,374,14,281.82,0
489545,374,32,124.95,0
489546,374,33,584.5,0
489547,374,22,641.45,0
489548,374,55,390.86,0
489550,374,23,482.3,0
489552,374,25,278.61,0
489556,374,59,379.65,0
489557,374,21,603.94,0
489558,374,4,291.58000000000004,0
489559,374,8,128.60000000000002,0
489560,374,30,859.0999999999999,0
489561,374,27,246.86,0
489562,374,39,229.6,0
489564,374,14,322.9,0
489566,374,8,218.54999999999998,0
489567,374,20,307.8,0
489569,374,18,282.28,0
489571,374,30,156.71,0
489573,374,32,580.02,0
489575,374,22,367.28000000000003,0
489576,374,17,319.66,0
489579,374,34,219.82,0
489580,374,8,261.0,0
489581,374,10,124.83000000000001,0
489582,374,9,293.95,0
489584,374,1,21.95,1
489585,374,4,105.85,1
489586,374,6,263.42,0
489590,374,27,362.78000000000003,0
489593,374,30,423.87,0
489594,374,51,322.33,0
489596,374,1,17.0,1
489598,374,50,822.37,0
489600,374,31,420.29,0
489601,374,26,337.2,0
489602,374,33,440.07,0
489603,374,21,311.55,0
489604,374,25,383.87,0
489606,374,1,2.1,1
489607,374,39,446.98,0
489608,374,1,9.75,1
489609,374,37,553.78,0
489611,374,1,2.95,1
489612,374,41,629.78,0
489613,374,1,12.75,1
489614,374,26,408.85,0
489615,374,22,499.36,0
489616,374,23,409.27,0
489617,374,16,198.0,0
489618,374,1,6.35,1
489619,374,5,19.5,1
489634,374,1,17.4,1
489635,374,21,352.85,0
489637,374,20,535.9,0
489638,374,1,7.5,1
489639,374,1,31.200000000000003,1
489640,374,27,329.90999999999997,0
489641,374,30,622.1,0
489642,374,3,12.850000000000001,1
489645,374,32,261.74,0
489650,374,7,173.1,0
489652,374,17,294.14,0
489653,374,13,60.78,0
489654,374,30,222.12,0
489657,374,3,55.2,1
489658,374,21,828.09,0
489661,374,4,23.48,1
489662,374,1,73.75,1
489664,374,11,374.43,0
489665,374,10,252.3,0
489666,374,15,263.09000000000003,0
489667,374,10,538.46,0
489668,374,8,378.12,0
489669,373,3,397.20000000000005,0
489670,373,2,114.60000000000001,1
489671,373,8,740.3,0
489672,373,32,772.65,0
489673,373,4,61.099999999999994,1
489674,373,17,261.3,0
489677,373,2,192.0,1
489678,373,20,189.29999999999998,0
489679,373,42,795.98,0
489680,373,1,45.0,1
489681,373,11,89.59,0
489682,373,4,125.73,1
489684,373,9,266.6,0
489687,373,12,221.53,0
489688,373,3,299.70000000000005,0
489695,373,15,306.95,0
489699,373,25,401.7,0
489705,373,1,17.0,1
489725,373,1,216.0,1
489726,373,1,750.0,0
489728,373,10,180.45,0
489733,373,2,168.0,1
489743,373,33,538.77,0
489748,373,3,754.2,0
489764,373,14,223.1,0
489765,373,41,285.59,0
489766,373,46,130.18,0
489780,373,8,159.98000000000002,0
489782,373,22,230.46,0
489783,373,7,162.04,0
489784,373,4,40.8,1
489785,373,20,333.67,0
489786,373,44,216.86,0
489788,373,17,119.16,0
489789,373,5,80.4,1
489790,373,2,131.12,1
489793,373,16,260.36,0
489794,373,4,58.2,1
489796,373,19,311.5,0
489797,373,26,200.63,0
489798,373,20,311.69,0
489800,373,32,408.07,0
489801,373,6,128.48000000000002,1
489802,373,45,174.52,0
489804,373,16,251.17000000000002,0
489805,373,46,454.35,0
489807,373,28,180.13,0
489808,373,17,109.84,0
489809,373,6,112.5,1
489810,373,26,493.25,0
489811,373,9,634.29,0
489812,373,25,597.6899999999999,0
489815,373,9,132.55,0
489816,373,27,284.55,0
489817,373,3,340.2,0
489818,373,14,294.3,0
489819,373,13,618.4300000000001,0
489822,373,54,371.27000000000004,0
489823,373,6,87.30000000000001,1
489824,373,44,176.88,0
489825,373,10,174.1,0
489826,373,10,85.95,0
489827,373,23,445.7,0
489829,373,8,472.47,0
489832,373,55,316.22,0
489833,373,24,150.68,0
489834,373,1,214.79999999999998,1
489835,373,2,714.0,0
489837,373,47,514.97,0
489840,373,1,89.69999999999999,1
489855,373,29,157.91,0
489861,373,6,46.07,1
489862,373,4,734.7,0
489863,373,18,66.82,0
489864,373,3,206.85,1
489865,373,18,234.87,0
489867,373,12,118.95,0
489868,373,14,675.0,0
489869,373,17,39.980000000000004,1
